Date,Open,High,Low,Close,Volume,Adj Close
2016-06-14,9.14,9.24,8.98,9.05,7739900,9.05
2016-06-13,9.35,9.50,9.31,9.33,5702900,9.33
2016-06-10,9.81,9.84,9.55,9.56,6641500,9.56
2016-06-09,10.26,10.26,10.16,10.20,3508600,10.20
2016-06-08,10.45,10.48,10.32,10.37,4266000,10.37
2016-06-07,10.54,10.66,10.48,10.48,2619600,10.48
2016-06-06,10.41,10.49,10.37,10.45,5314400,10.45
2016-06-03,10.54,10.57,10.34,10.51,3072400,10.51
2016-06-02,10.46,10.58,10.44,10.55,3018500,10.55
2016-06-01,10.31,10.50,10.24,10.48,3516100,10.48
2016-05-31,10.83,10.90,10.53,10.58,4901600,10.58
2016-05-27,10.89,10.98,10.86,10.91,1903700,10.91
2016-05-26,10.92,10.94,10.75,10.83,2917200,10.83
2016-05-25,10.82,11.01,10.82,10.92,4198000,10.92
2016-05-24,10.50,10.66,10.47,10.66,5032600,10.66
2016-05-23,10.20,10.27,10.14,10.17,3192300,10.17
2016-05-20,10.10,10.23,10.10,10.16,3743100,10.16
2016-05-19,10.10,10.17,9.93,10.03,4844200,10.03
2016-05-18,9.73,10.01,9.69,9.96,5154900,9.96
2016-05-17,9.47,9.55,9.37,9.44,3463100,9.44
2016-05-16,9.39,9.48,9.39,9.44,2833800,9.44
2016-05-13,9.42,9.54,9.35,9.39,4481600,9.39
2016-05-12,9.55,9.60,9.38,9.45,4580500,9.45
2016-05-11,9.44,9.54,9.35,9.40,2481900,9.40
2016-05-10,9.39,9.52,9.36,9.47,2352200,9.47
2016-05-09,9.30,9.34,9.15,9.19,3433500,9.19
2016-05-06,9.27,9.47,9.25,9.41,2344100,9.41
2016-05-05,9.38,9.50,9.28,9.32,3451700,9.32
2016-05-04,9.47,9.56,9.41,9.45,4450400,9.45
2016-05-03,9.75,9.76,9.59,9.65,4470000,9.65
2016-05-02,10.09,10.12,9.95,10.08,2153600,10.08
2016-04-29,10.18,10.20,9.98,10.05,4555400,10.05
2016-04-28,10.06,10.22,10.03,10.09,3632300,10.09
2016-04-27,10.13,10.28,10.07,10.20,3757700,10.20
2016-04-26,10.03,10.17,9.94,10.14,3895000,10.14
2016-04-25,10.00,10.01,9.83,9.91,3797600,9.91
2016-04-22,9.82,9.95,9.82,9.91,2944200,9.91
2016-04-21,9.88,9.89,9.77,9.81,3053200,9.81
2016-04-20,9.85,9.90,9.79,9.88,2993400,9.88
2016-04-19,9.66,9.74,9.58,9.68,3453600,9.68
2016-04-18,9.49,9.60,9.47,9.56,3463300,9.56
2016-04-15,9.55,9.56,9.42,9.46,2781400,9.46
2016-04-14,9.50,9.58,9.41,9.51,3734800,9.51
2016-04-13,9.39,9.50,9.34,9.49,4311300,9.49
2016-04-12,8.80,8.97,8.68,8.95,3685700,8.95
2016-04-11,8.80,8.86,8.74,8.75,4182400,8.75
2016-04-08,8.53,8.56,8.44,8.47,5718400,8.47
2016-04-07,8.36,8.41,8.20,8.24,3269900,8.24
2016-04-06,8.39,8.52,8.31,8.50,3972100,8.50
2016-04-05,8.35,8.38,8.22,8.26,6437600,8.26
2016-04-04,8.60,8.69,8.54,8.56,3882000,8.56
2016-04-01,8.52,8.65,8.48,8.63,3506900,8.63
2016-03-31,8.66,8.72,8.62,8.62,3017000,8.62
2016-03-30,8.78,8.84,8.70,8.71,3574200,8.71
2016-03-29,8.67,8.82,8.58,8.80,3250400,8.80
2016-03-28,8.77,8.86,8.68,8.80,2318400,8.80
2016-03-24,8.76,8.77,8.65,8.75,9239000,8.75
2016-03-23,9.03,9.03,8.80,8.84,5150200,8.84
2016-03-22,9.33,9.33,8.86,8.97,4803900,8.97
2016-03-21,9.37,9.44,9.26,9.33,3962300,9.33
2016-03-18,9.49,9.53,9.37,9.46,4599800,9.46
2016-03-17,9.33,9.37,9.28,9.34,3826600,9.34
2016-03-16,9.25,9.40,9.23,9.37,3129400,9.37
2016-03-15,9.33,9.38,9.28,9.31,2917400,9.31
2016-03-14,9.46,9.49,9.36,9.42,4047100,9.42
2016-03-11,9.45,9.67,9.42,9.66,4163600,9.66
2016-03-10,9.40,9.49,9.10,9.25,4707100,9.25
2016-03-09,9.50,9.52,9.29,9.35,3145200,9.35
2016-03-08,9.88,9.88,9.64,9.64,5487900,9.445
2016-03-07,9.73,9.92,9.70,9.88,3242200,9.680145
2016-03-04,9.78,9.92,9.70,9.81,6173700,9.611562
2016-03-03,9.38,9.52,9.34,9.52,5324200,9.327428
2016-03-02,8.87,9.23,8.86,9.22,6319700,9.033496
2016-03-01,8.68,8.92,8.67,8.89,11984600,8.710172
2016-02-29,9.49,9.63,9.41,9.44,4085700,9.249045
2016-02-26,9.23,9.41,9.23,9.31,3341200,9.121676
2016-02-25,9.11,9.26,9.01,9.24,2999800,9.053091
2016-02-24,8.76,8.96,8.64,8.93,3681200,8.749362
2016-02-23,9.27,9.28,8.98,9.00,4130000,8.817946
2016-02-22,9.20,9.33,9.19,9.31,3795700,9.121676
2016-02-19,9.23,9.25,9.10,9.22,5943200,9.033496
2016-02-18,9.47,9.47,9.19,9.20,11107800,9.0139
2016-02-17,9.57,9.66,9.52,9.54,10545700,9.347023
2016-02-16,9.30,9.35,9.17,9.27,5540800,9.082485
2016-02-12,8.97,9.21,8.85,9.20,4217200,9.0139
2016-02-11,8.68,8.82,8.52,8.63,6434500,8.455431
2016-02-10,9.22,9.36,9.16,9.20,7697900,9.0139
2016-02-09,9.00,9.24,8.98,9.14,6803900,8.955115
2016-02-08,9.72,9.72,9.42,9.52,5790000,9.327428
2016-02-05,10.09,10.21,10.01,10.06,4007900,9.856505
2016-02-04,10.04,10.29,10.01,10.24,6126300,10.032863
2016-02-03,9.95,9.95,9.57,9.81,7229900,9.611562
2016-02-02,10.18,10.19,9.93,9.97,5071900,9.768325
2016-02-01,10.52,10.71,10.44,10.66,2131800,10.444367
2016-01-29,10.53,10.81,10.46,10.78,3607500,10.56194
2016-01-28,10.42,10.44,10.25,10.37,3324200,10.160233
2016-01-27,10.37,10.66,10.31,10.37,4744300,10.160233
2016-01-26,10.42,10.68,10.41,10.67,2634900,10.454165
2016-01-25,10.56,10.57,10.38,10.39,3438700,10.179829
2016-01-22,11.00,11.13,10.92,10.99,3268000,10.767692
2016-01-21,10.47,10.73,10.33,10.62,4082800,10.405176
2016-01-20,10.44,10.58,10.21,10.48,7146300,10.268008
2016-01-19,11.00,11.00,10.68,10.75,4476800,10.532547
2016-01-15,11.03,11.15,10.82,10.96,5912100,10.738299
2016-01-14,11.35,11.64,11.21,11.57,4637900,11.335959
2016-01-13,11.82,11.85,11.43,11.45,3232400,11.218387
2016-01-12,11.85,11.88,11.67,11.84,2423900,11.600498
2016-01-11,11.87,11.89,11.67,11.81,3215800,11.571105
2016-01-08,12.02,12.05,11.66,11.68,3254700,11.443735
2016-01-07,12.05,12.18,11.92,11.93,4050100,11.688678
2016-01-06,12.39,12.50,12.36,12.42,3033400,12.168766
2016-01-05,12.79,12.84,12.64,12.77,2040100,12.511686
2016-01-04,12.63,12.86,12.58,12.85,4131500,12.590068
2015-12-31,13.06,13.10,12.96,12.96,1965900,12.697842
2015-12-30,13.07,13.18,13.06,13.08,1973000,12.815415
2015-12-29,13.16,13.27,13.14,13.25,3014800,12.981976
2015-12-28,13.26,13.29,13.20,13.21,2085000,12.942785
2015-12-24,13.31,13.42,13.27,13.35,855100,13.079954
2015-12-23,13.17,13.34,13.16,13.32,2562700,13.05056
2015-12-22,13.06,13.13,12.94,13.11,2092900,12.844808
2015-12-21,13.07,13.09,12.88,12.97,2182700,12.70764
2015-12-18,13.14,13.14,12.86,12.87,3468000,12.609663
2015-12-17,13.13,13.14,12.97,12.97,3277300,12.70764
2015-12-16,13.02,13.20,12.89,13.16,1931200,12.893797
2015-12-15,13.06,13.10,12.88,12.91,2640000,12.648854
2015-12-14,12.91,12.98,12.65,12.80,3199000,12.541079
2015-12-11,12.95,12.98,12.76,12.82,3450000,12.560674
2015-12-10,13.23,13.32,13.16,13.19,2813300,12.92319
2015-12-09,13.37,13.62,13.22,13.33,2533000,13.060358
2015-12-08,13.37,13.40,13.24,13.30,2825000,13.030965
2015-12-07,13.77,13.79,13.61,13.69,2127100,13.413075
2015-12-04,13.77,13.97,13.73,13.94,2861500,13.658018
2015-12-03,14.13,14.13,13.69,13.74,2867200,13.462064
2015-12-02,14.05,14.10,13.84,13.88,1916000,13.599233
2015-12-01,14.07,14.10,13.98,14.09,3686200,13.804985
2015-11-30,13.47,13.49,13.40,13.45,1600600,13.17793
2015-11-27,13.56,13.57,13.45,13.45,917300,13.17793
2015-11-25,13.41,13.45,13.36,13.37,1647100,13.099549
2015-11-24,13.21,13.34,13.20,13.31,1798900,13.040763
2015-11-23,13.33,13.42,13.23,13.27,2801100,13.001572
2015-11-20,13.68,13.72,13.41,13.43,3685700,13.158335
